false,MLS Number,Address,City/Location,State Or Province,Zip,Subdivision,Area,Market Area,Original List Price,Close Price,Close Price Adj,Lot Size,SF,Prc/SF,Price Sq Ft List,Price Sq Ft Sold,Price Sq Ft Adj Sold,Close Date,Maint Fee Amt,Maint Fee Pay Schedule,YB,BR,FB,HB,DOM,CDOM,Latitude,Longitude,Tax Year,Tax Amount,Tax Rate,School District,School Elementary,School Middle,School High,Pool Private,Ownership,Property Type,Property Sub Type
false,2948451,2025 4th Street,Hempstead,Texas,77445,Hempstead,26,Hempstead,"$144,990","$140,640","$138,828",,"1,209",$116.33,$119.93,$116.33,$114.83,06/16/2021,,,2021,4,2,0,,0,30.085770,-96.071840,,,,24 - Hempstead,HEMPSTEAD ELEMENTARY SCHOOL,HEMPSTEAD MIDDLE SCHOOL,HEMPSTEAD HIGH SCHOOL,No,,Free Standing,
false,27102804,2048 3rd Street,Hempstead,Texas,77445,Hempstead,26,Hempstead,"$144,990","$140,640","$140,640","31,250","1,209",$116.33,$119.93,$116.33,$116.33,05/27/2021,,,2021,4,2,0,,0,30.085585,-96.070965,2020,"1,162",2.47,24 - Hempstead,HEMPSTEAD ELEMENTARY SCHOOL,HEMPSTEAD MIDDLE SCHOOL,HEMPSTEAD HIGH SCHOOL,No,,Free Standing,
false,89603895,2008 3rd Street,Hempstead,Texas,77445,Hempstead,26,Hempstead,"$144,990","$140,640","$140,640","6,250","1,209",$116.33,$119.93,$116.33,$116.33,05/27/2021,,,,4,2,0,14,14,30.085718,-96.070959,2020,"1,221",2.60,24 - Hempstead,HEMPSTEAD ELEMENTARY SCHOOL,HEMPSTEAD MIDDLE SCHOOL,HEMPSTEAD HIGH SCHOOL,No,,Free Standing,
false,59827625,2028 3rd Street,Hempstead,Texas,77445,Hempstead,26,Hempstead,"$144,990","$140,640","$138,828","6,250","1,209",$116.33,$119.93,$116.33,$114.83,06/16/2021,,,,4,2,0,14,14,30.085718,-96.070959,2020,"1,221",2.60,24 - Hempstead,HEMPSTEAD ELEMENTARY SCHOOL,HEMPSTEAD MIDDLE SCHOOL,HEMPSTEAD HIGH SCHOOL,No,,Free Standing,
false,13647391,2735 12th Street,Hempstead,Texas,77445,Town of Hempstead,26,Hempstead,"$159,990","$141,272","$139,272",,"1,300",$108.67,$107.68,$108.67,$107.13,04/05/2021,,,2020,3,2,0,70,70,30.084377,-96.081388,2019,,2.59,24 - Hempstead,HEMPSTEAD ELEMENTARY SCHOOL,HEMPSTEAD MIDDLE SCHOOL,HEMPSTEAD HIGH SCHOOL,No,Full Ownership,Free Standing,
false,84642720,915 14th Street,Hempstead,Texas,77445,Hempstead,26,Hempstead,"$144,900","$141,900","$138,900","8,124","1,115",$127.26,$129.96,$127.26,$124.57,01/20/2021,,,1952,2,1,0,15,15,30.096275,-96.083631,2020,"1,553",2.60,24 - Hempstead,HEMPSTEAD ELEMENTARY SCHOOL,HEMPSTEAD MIDDLE SCHOOL,HEMPSTEAD HIGH SCHOOL,No,,Free Standing,
false,24533880,24406 Four Sixes Lane,Hockley,Texas,77447,Ranch Country 8,35,Hockley,"$149,900","$142,000","$142,000","6,300",998,$142.28,$140.18,$142.28,$142.28,07/30/2021,$250,Annually,1981,3,1,0,26,26,30.020363,-95.806387,2020,"2,681",2.87,55 - Waller,ROBERTS ROAD ELEMENTARY SCHOOL,WALLER JUNIOR HIGH SCHOOL,WALLER HIGH SCHOOL,No,Full Ownership,Free Standing,
false,20189540,4015 4th Street,Hempstead,Texas,77445,Hempstead,26,Hempstead,"$146,990","$142,580","$142,580",,"1,209",$117.93,$121.58,$117.93,$117.93,05/27/2021,,,2021,4,2,0,,0,30.084386,-96.071894,,,,24 - Hempstead,HEMPSTEAD ELEMENTARY SCHOOL,HEMPSTEAD MIDDLE SCHOOL,HEMPSTEAD HIGH SCHOOL,No,,Free Standing,
false,23755524,2018 3rd Street,Hempstead,Texas,77445,Hempstead,26,Hempstead,"$146,990","$142,580","$140,729","6,250","1,209",$117.93,$121.58,$117.93,$116.40,06/16/2021,,,2021,4,2,0,15,15,30.085784,-96.070957,2020,"1,221",2.60,24 - Hempstead,HEMPSTEAD ELEMENTARY SCHOOL,HEMPSTEAD MIDDLE SCHOOL,HEMPSTEAD HIGH SCHOOL,No,,Free Standing,
false,67640480,20214 Beechview Lane,Katy,Texas,77449,Westgreen,25,Katy - North,"$119,900","$143,000","$143,000","6,960","1,366",$104.69,$87.77,$104.69,$104.69,10/29/2021,$401,Annually,1983,3,2,0,4,4,29.800570,-95.731277,2020,"3,375",2.42,30 - Katy,SUNDOWN ELEMENTARY SCHOOL (KATY),MORTON RANCH JUNIOR HIGH SCHOOL,MORTON RANCH HIGH SCHOOL,No,,Free Standing,
false,21770964,24309 Marshburn Drive,Hockley,Texas,77447,Glenwood Estates,15,Hockley,"$140,000","$145,000","$145,000","87,120","1,216",$119.24,$115.13,$119.24,$119.24,09/22/2021,,,2000,3,2,0,2,2,30.125007,-95.796404,2020,708,1.97,36 - Magnolia,J.L. LYON ELEMENTARY SCHOOL,MAGNOLIA JUNIOR HIGH SCHOOL,MAGNOLIA WEST HIGH SCHOOL,No,,Free Standing,
false,54160591,26654 Callie Drive,Hempstead,Texas,77445,Deerwood Lakes 2,26,Waller,"$185,000","$145,000","$145,000","28,272","1,308",$110.86,$141.44,$110.86,$110.86,04/27/2021,$200,Annually,1983,3,2,0,1,1,30.199358,-96.019559,2020,"1,849",2.08,55 - Waller,FIELDS STORE ELEMENTARY SCHOOL,SCHULTZ JUNIOR HIGH SCHOOL,WALLER HIGH SCHOOL,No,Full Ownership,Free Standing,
false,13660537,21200 Hwy 36 Highway,Brazoria,Texas,77444,Wild Peach,5,West of the Brazos,"$169,900","$145,000","$145,000",,"1,705",$85.04,$99.65,$85.04,$85.04,07/16/2021,,,1970,2,2,0,180,180,29.087793,-95.621981,2018,"1,824",1.83,10 - Columbia-Brazoria,,WEST BRAZOS JUNIOR HIGH,COLUMBIA HIGH SCHOOL,No,,Free Standing,
